Table 3.,,,,,,,,,,
PERSONS OBTAINING LEGAL PERMANENT RESIDENT STATUS BY REGION AND COUNTRY OF BIRTH: FISCAL YEARS 2000 TO 2009,,,,,,,,,,
,,,,,,,,,,
Region and country of birth,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
REGION,,,,,,,,,,
Total,"841,002","1,058,902","1,059,356","703,542","957,883","1,122,257","1,266,129","1,052,415","1,107,126","1,130,818"
Africa,"44,534","53,731","60,101","48,642","66,422","85,098","117,422","94,711","105,915","127,050"
Asia,"270,960","357,160","349,723","250,448","342,930","411,722","440,335","397,834","399,027","413,312"
Europe,"124,449","165,507","164,295","93,904","124,791","164,892","146,193","106,495","103,719","105,398"
North America,"338,959","405,638","402,949","249,968","342,468","345,561","414,075","339,355","393,253","375,236"
Oceania,"5,105","6,071","5,515","4,351","5,985","6,546","7,384","6,101","5,263","5,578"
South America,"55,823","68,484","74,151","55,028","72,060","103,135","137,986","106,525","98,555","102,878"
Unknown,"1,172","2,311","2,622","1,201","3,227","5,303","2,734","1,394","1,394","1,366"
COUNTRY,,,,,,,,,,
Total,"841,002","1,058,902","1,059,356","703,542","957,883","1,122,257","1,266,129","1,052,415","1,107,126","1,130,818"
Afghanistan,"1,011","1,202","1,759","1,252","2,137","4,749","3,417","1,753","2,813","3,165"
Albania,"4,755","4,358","3,765","3,362","3,840","5,947","7,914","5,737","5,754","5,137"
Algeria,906,875,"1,030",759,805,"1,115","1,300","1,036","1,037","1,485"
American Samoa,7,28,26,16,12,15,28,11,14,19
Angola,87,94,92,59,107,188,272,199,221,173
Anguilla,25,55,20,26,22,35,32,25,22,21
Antigua-Barbuda,429,461,380,301,414,440,570,415,444,437
Argentina,"2,317","3,297","3,661","3,129","4,805","7,081","7,327","5,645","5,353","5,780"
Armenia,"1,253","1,762","1,800","1,287","1,833","2,591","6,317","4,351","3,586","3,442"
Aruba,25,29,32,27,31,42,51,55,36,38
Australia,"2,044","2,811","2,557","1,836","2,604","3,193","3,249","2,518","2,464","2,622"
Austria,405,522,483,295,402,532,524,485,443,512
Azerbaijan,"1,036","1,152","1,164",746,969,"1,523","2,371","1,166","1,071",834
Bahamas,766,924,808,423,586,698,847,738,682,751
Bahrain,106,118,85,59,116,140,148,133,96,120
Bangladesh,"7,204","7,152","5,483","4,616","8,061","11,487","14,644","12,074","11,753","16,651"
Barbados,777,895,813,516,630,846,959,689,585,603
Belarus,"2,170","2,901","2,923","1,858","2,255","3,503","3,086","2,328","2,390","2,407"
Belgium,670,814,769,455,638,859,716,638,642,686
Belize,757,936,966,588,871,876,"1,252","1,073","1,077","1,041"
Benin,62,75,137,76,185,193,275,258,317,401
Bermuda,71,98,108,92,100,116,160,108,92,108
Bhutan,D,5,14,15,17,30,78,52,42,594
Bolivia,"1,761","1,819","1,664","1,376","1,768","2,197","4,025","2,590","2,436","2,837"
Bosnia-Herzegovina,"11,525","23,594","25,329","6,155","10,552","14,074","3,789","1,569","1,491","1,501"
Botswana,13,24,30,27,34,54,53,49,41,55
Brazil,"6,943","9,448","9,439","6,331","10,556","16,662","17,903","14,295","12,195","14,701"
British Virgin Islands,67,70,43,43,35,41,47,40,53,46
Brunei,16,27,28,20,22,49,25,32,18,26
Bulgaria,"4,917","4,400","3,608","3,825","4,253","5,635","4,828","3,981","2,960","3,133"
Burkina Faso,48,68,64,60,103,128,221,238,238,416
Burma,"1,201","1,373","1,356","1,193","1,379","2,095","4,562","3,130","3,403","13,621"
Burundi,28,79,120,74,100,186,320,257,255,"1,505"
Cambodia,"2,138","2,462","2,800","2,263","3,553","4,022","5,773","4,246","3,713","3,771"
Cameroon,860,791,984,927,"1,309","1,458","2,919","3,392","3,771","3,463"
Canada,"16,057","21,752","19,352","11,350","15,569","21,878","18,207","15,495","15,109","16,140"
Cape Verde,"1,079",868,871,745,"1,015","1,225","1,780","2,048","1,916","2,238"
Cayman Islands,31,23,24,35,38,37,65,40,37,45
Central African Republic,4,11,13,6,17,24,51,52,88,107
Chad,23,44,47,8,23,31,73,74,96,102
Chile,"1,700","1,921","1,839","1,310","1,810","2,404","2,774","2,274","2,017","2,250"
"China, People's Republic","45,585","56,267","61,082","40,568","55,494","69,933","87,307","76,655","80,271","64,238"
Colombia,"14,427","16,627","18,758","14,720","18,846","25,566","43,144","33,187","30,213","27,849"
"Congo, Democratic Republic",123,145,178,110,155,260,738,"1,129","1,261","2,122"
"Congo, Republic",189,311,677,513,670,"1,064","1,600",972,950,"1,563"
Costa Rica,"1,310","1,733","1,591","1,246","1,755","2,278","3,109","2,540","2,090","2,384"
Cote d'Ivoire,439,596,629,483,666,930,"2,067","1,193","1,645","2,159"
Croatia,"1,058","2,853","3,798","1,153","1,511","1,780",945,482,455,496
Cuba,"18,960","27,453","28,182","9,262","20,488","36,261","45,614","29,104","49,500","38,954"
Cyprus,160,216,158,123,143,196,180,137,141,142
Czech Republic,244,307,267,267,457,476,344,287,227,146
Czechoslovakia (former),665,863,897,543,673,784,"1,442",927,862,865
Denmark,537,706,609,405,566,718,699,517,498,603
Djibouti,14,22,30,16,37,50,34,23,39,54
Dominica,95,93,148,204,132,198,471,428,454,484
Dominican Republic,"17,465","21,195","22,515","26,159","30,506","27,503","38,068","28,024","31,879","49,414"
Ecuador,"7,651","9,665","10,561","7,066","8,626","11,608","17,489","12,248","11,663","12,128"
Egypt,"4,450","5,159","4,852","3,348","5,522","7,905","10,500","9,267","8,712","8,844"
El Salvador,"22,543","31,089","31,060","28,231","29,807","21,359","31,782","21,127","19,659","19,909"
Equatorial Guinea,5,3,8,D,13,10,13,4,16,32
Eritrea,382,540,560,556,675,796,"1,593","1,081","1,270","1,928"
Estonia,239,348,343,235,322,438,423,368,287,282
Ethiopia,"4,053","5,092","7,565","6,635","8,286","10,571","16,152","12,786","12,917","15,462"
Fiji,"1,483","1,452","1,208","1,095","1,593","1,422","2,115","1,637","1,176","1,194"
Finland,377,497,426,241,388,574,542,426,302,423
France,"3,442","4,569","3,797","2,375","3,595","4,399","4,258","3,423","4,872","4,491"
French Guiana,13,8,6,4,3,8,15,9,6,18
French Polynesia,13,16,12,14,13,19,37,27,26,30
Gabon,18,32,41,40,50,66,85,95,82,171
Gambia,231,390,343,263,422,581,897,826,739,978
Georgia,493,786,886,735,964,"1,389","2,003","1,554","1,620","1,578"
Germany,"7,565","9,790","8,888","5,064","7,099","9,264","8,436","7,582","7,091","7,583"
Ghana,"4,339","4,023","4,248","4,410","5,337","6,491","9,367","7,610","8,195","8,401"
Greece,950,"1,155","1,009",651,769,"1,070","1,124",882,769,798
Grenada,655,645,634,481,609,840,"1,068",751,784,748
Guadeloupe,51,84,38,35,59,48,53,38,33,32
Guatemala,"9,942","13,496","16,178","14,386","18,920","16,818","24,133","17,908","16,182","12,187"
Guinea,3,11,16,29,347,495,"1,110","1,088","1,735","1,725"
Guinea-Bissau,204,273,289,176,5,26,25,25,17,20
Guyana,"5,719","8,279","9,938","6,809","6,351","9,317","9,552","5,726","6,823","6,670"
Haiti,"22,337","27,031","20,213","12,293","14,191","14,524","22,226","30,405","26,007","24,280"
Honduras,"5,917","6,571","6,435","4,645","5,508","7,012","8,177","7,646","6,540","6,404"
Hong Kong,"5,407","8,300","6,075","3,574","3,951","3,705","3,256","3,527","3,373","2,651"
Hungary,"1,023","1,263","1,274","1,021","1,272","1,567","1,704","1,266","1,127","1,314"
Iceland,129,134,93,97,105,135,145,95,122,131
India,"41,903","70,032","70,823","50,228","70,151","84,680","61,369","65,353","63,352","57,304"
Indonesia,"1,767","2,525","2,418","1,805","2,419","3,924","4,868","3,716","3,606","3,679"
Iran,"8,487","10,425","12,960","7,230","10,434","13,887","13,947","10,460","13,852","18,553"
Iraq,"5,087","4,965","5,174","2,450","3,494","4,077","4,337","3,765","4,795","12,110"
Ireland,"1,296","1,505","1,398",983,"1,531","2,088","1,906","1,503","1,465","1,637"
Israel,"2,783","3,744","3,826","2,741","4,160","5,755","5,943","4,496","5,851","5,612"
Italy,"2,448","3,096","2,578","1,644","2,346","3,066","3,215","2,569","2,514","2,892"
Jamaica,"15,949","15,322","14,835","13,347","14,430","18,345","24,976","19,375","18,477","21,783"
Japan,"7,049","9,578","8,248","5,971","7,697","8,768","8,265","6,748","6,821","7,690"
Jordan,"3,900","4,572","3,964","2,927","3,431","3,748","4,038","3,917","3,936","4,282"
Kazakhstan,"1,493","2,310","2,315","1,740","1,906","2,223","2,073","1,604","1,630","1,562"
Kenya,"2,197","2,501","3,199","3,209","5,335","5,347","8,779","7,030","6,998","9,880"
Kiribati,3,-,D,4,D,4,8,10,4,10
"Korea, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,67
"Korea, South 1","15,721","20,532","20,724","12,382","19,766","26,562","24,386","22,405","26,666","25,859"
Kuwait,"1,015","1,258","1,056",707,"1,091","1,152","1,230","1,017","1,104","1,124"
Kyrgyzstan,388,582,473,356,439,656,785,597,632,574
Laos,"1,358","1,398","1,245",896,"1,147","1,242","2,892","2,575","2,198","1,688"
Latvia,548,711,683,458,605,768,892,568,455,444
Lebanon,"3,662","4,579","3,935","2,956","3,818","4,282","4,083","4,267","4,254","3,831"
Lesotho,9,6,13,5,14,12,18,14,16,14
Liberia,"1,570","2,273","2,869","1,766","2,757","4,880","6,887","4,102","7,193","7,641"
Libya,180,223,158,140,185,223,271,186,285,296
Lithuania,"1,349","1,732","1,786","2,266","2,480","2,417","1,885","1,361",967,"1,069"
Luxembourg,26,34,32,16,13,35,28,39,28,30
Macau,270,340,284,244,192,133,189,178,205,158
Macedonia,790,921,821,653,775,"1,070","1,317","1,227","1,107","1,128"
Madagascar,33,61,43,40,54,60,72,53,77,71
Malawi,61,70,56,62,83,131,131,123,133,164
Malaysia,"1,551","2,439","2,124","1,200","1,987","2,632","2,281","2,149","1,945","2,014"
Maldives,D,9,9,15,7,6,D,9,D,6
Mali,109,119,105,124,163,277,408,412,523,576
Malta,54,57,44,37,57,74,70,53,66,58
Marshall Islands,3,D,26,26,48,32,53,48,39,48
Martinique,20,22,19,14,26,37,30,23,24,24
Mauritania,88,117,124,131,170,275,720,651,844,597
Mauritius,54,84,83,57,65,99,108,88,83,110
Mexico,"173,493","205,560","218,822","115,585","175,411","161,445","173,749","148,640","189,989","164,920"
"Micronesia, Federated States",5,9,D,4,5,6,12,7,13,16
Moldova,"1,251","2,068","2,103","1,151","1,507","3,506","3,036","1,356","1,692","2,295"
Monaco,12,9,17,3,7,7,D,6,7,4
Mongolia,46,102,135,153,229,323,497,530,659,831
Montserrat,70,61,42,36,33,50,90,66,61,43
Morocco,"3,614","4,958","3,387","3,137","4,128","4,411","4,949","4,513","4,425","5,447"
Mozambique,41,48,54,36,59,54,78,81,69,66
Namibia,30,54,46,40,40,63,56,57,46,53
Nepal,616,945,"1,137","2,095","2,878","3,158","3,733","3,472","4,093","4,514"
Netherlands,"1,337","1,679","1,549",981,"1,303","1,815","1,651","1,368","1,240","1,499"
Netherlands Antilles,53,114,97,59,72,116,100,93,78,97
New Caledonia,3,6,5,D,D,5,7,5,5,13
New Zealand,964,"1,205","1,117",877,"1,131","1,293","1,100","1,047",893,947
Nicaragua,"20,947","19,634","10,659","4,094","4,009","3,305","4,145","3,716","3,614","4,137"
Niger,30,"1,330","1,263",808,62,126,116,97,107,183
Nigeria,"7,831","8,253","8,105","7,872","9,374","10,597","13,459","12,448","12,475","15,253"
Norway,459,547,431,320,405,423,481,343,350,407
Oman,51,55,61,76,122,101,155,103,70,74
Pakistan,"14,504","16,393","13,694","9,415","12,086","14,926","17,418","13,492","19,719","21,555"
Palau,3,3,10,8,6,8,8,11,6,16
Panama,"1,829","1,867","1,680","1,164","1,417","1,815","2,418","1,916","1,678","1,806"
Papua New Guinea,21,26,26,34,19,44,30,31,15,19
Paraguay,338,401,356,207,328,516,719,545,481,530
Peru,"9,579","11,062","11,918","9,409","11,794","15,676","21,718","17,699","15,184","16,957"
Philippines,"42,343","52,919","51,040","45,250","57,846","60,746","74,606","72,596","54,030","60,029"
Poland,"10,090","11,769","12,711","10,510","14,326","15,351","17,051","10,355","8,354","8,754"
Portugal,"1,343","1,609","1,313",808,"1,069","1,125","1,409","1,019",772,946
Qatar,97,125,108,72,125,174,226,138,151,134
Romania,"6,863","6,628","4,887","3,655","4,571","7,103","7,137","5,802","4,930","4,910"
Russia,"16,940","20,313","20,771","13,935","17,410","18,055","13,159","9,426","11,695","8,238"
Rwanda,73,148,217,109,163,276,502,357,378,952
Saint Kitts-Nevis,500,463,342,310,299,342,458,347,363,310
Saint Lucia,599,674,583,488,616,832,"1,212",928,946,"1,027"
Saint Vincent and the Grenadines,497,559,480,322,400,625,756,567,568,591
Samoa,184,165,157,178,203,173,283,290,227,250
Sao Tome and Principe,8,D,4,D,9,8,6,7,7,11
Saudi Arabia,"1,063","1,178","1,014",735,906,"1,210","1,542","1,171","1,194","1,418"
Senegal,554,663,530,522,769,913,"1,367","1,024","1,149","1,524"
Serbia and Montenegro2,"2,742","6,203","10,387","2,994","3,331","5,202","5,891","3,586","3,255","3,166"
Seychelles,18,18,20,16,25,16,15,7,16,10
Sierra Leone,"1,585","1,878","2,246","1,492","1,596","2,731","3,572","1,999","2,795","2,687"
Singapore,668,"1,100","1,033",582,966,"1,204",997,985,922,832
Slovakia,549,809,725,674,800,965,"1,111",763,653,706
Slovenia,76,142,140,64,88,114,115,87,79,108
Solomon Islands,7,7,7,5,6,3,5,10,7,D
Somalia,"2,393","3,007","4,535","2,444","3,929","5,829","9,462","6,251","10,745","13,390"
South Africa,"2,824","4,090","3,861","2,210","3,370","4,536","3,201","2,988","2,723","3,171"
Soviet Union (former),"3,263","2,707","2,403","1,072",929,"2,899","6,229","5,090","5,270","5,911"
Spain,"1,254","1,711","1,361",917,"1,339","1,888","1,971","1,578","1,621","1,769"
Sri Lanka,"1,118","1,505","1,529","1,246","1,431","1,894","2,191","1,831","1,935","2,009"
Sudan,"1,531","1,650","2,921","1,883","3,211","5,231","5,504","2,930","3,598","3,577"
Suriname,256,245,247,180,166,300,314,197,218,227
Swaziland,12,18,12,23,15,16,11,13,18,42
Sweden,"1,264","1,682","1,376",963,"1,270","1,517","1,376","1,145","1,019","1,138"
Switzerland,"1,029","1,298","1,004",632,855,"1,092",983,705,720,798
Syria,"2,367","3,350","2,557","1,938","2,256","2,831","2,918","2,385","2,641","2,442"
Taiwan,"9,019","12,120","9,775","6,917","9,005","9,196","8,086","8,990","9,073","8,038"
Tajikistan,156,187,181,137,167,207,239,172,231,265
Tanzania,480,476,577,554,747,829,949,832,838,"2,773"
Thailand,"3,753","4,245","4,144","3,126","4,318","5,505","11,749","8,751","6,637","10,444"
Togo,386,487,935,"1,187","2,041","1,523","1,720","1,565","1,661","1,680"
Tonga,349,327,331,238,327,309,437,438,365,379
Trinidad and Tobago,"6,635","6,618","5,738","4,138","5,384","6,568","8,854","6,829","5,937","6,256"
Tunisia,307,438,540,353,457,495,510,417,410,416
Turkey,"2,606","3,215","3,375","3,029","3,835","4,614","4,941","4,425","4,210","4,958"
Turkmenistan,97,94,93,84,117,148,248,217,274,290
Turks and Caicos Islands,46,33,31,26,28,34,52,31,35,31
U.S. Virgin Islands,3,6,9,4,13,8,7,3,D,D
Uganda,418,457,575,455,721,858,"1,372","1,122","1,174","1,364"
Ukraine,"15,511","20,914","21,190","11,633","14,156","22,745","17,140","11,001","10,813","11,223"
United Arab Emirates,435,460,472,380,586,812,"1,006",758,693,697
United Kingdom,"13,273","18,278","16,297","9,527","14,915","19,800","17,207","14,545","14,348","15,748"
United States,35,63,64,32,57,183,333,171,216,181
Uruguay,426,541,536,469,787,"1,154","1,664","1,418","1,451","1,775"
Uzbekistan,"1,631","2,031","2,317","1,445","1,995","2,887","4,015","4,665","6,375","5,467"
Venezuela,"4,693","5,170","5,228","4,018","6,220","10,645","11,341","10,692","10,514","11,154"
Vietnam,"26,553","35,419","33,563","22,087","31,524","32,784","30,691","28,691","31,497","29,234"
Yemen,"1,789","1,607","1,227","1,382","1,760","3,366","4,308","2,396","1,872","3,134"
Zambia,211,295,308,280,359,499,672,576,613,704
Zimbabwe,322,475,484,358,628,923,"1,049","1,057",953,983
All other countries,35,42,52,32,33,52,40,28,25,40
Unknown,"1,172","2,311","2,622","1,201","3,227","5,303","2,734","1,394","1,394","1,366"
NA Not available.,,,,,,,,,,
D Data withheld to limit disclosure.,,,,,,,,,,
- Represents zero.,,,,,,,,,,
1  Data for South Korea prior to Fiscal Year 2009 include a small number of cases from North Korea. ,,,,,,,,,,
"2 Yugoslavia (unknown republic) prior to February 7, 2003.",,,,,,,,,,
Source: U.S. Department of Homeland Security.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
